Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
335,ROL,"Rollins, Inc.",Industrials,Atlanta,Georgia,2024-03-01,43,44,1.57,2008715,$21.29 B
336,WRB,Berkley,Financials,Greenwich,Connecticut,2024-03-01,83,82,-1.27,906478,$21.21 B
337,WBD,Warner Bros. Discovery,Communication Services,New York City,New York,2024-03-01,8,8,-1.37,28565443,$21.15 B
338,INVH,Invitation Homes,Real Estate,Dallas,Texas,2024-03-01,33,34,1.89,3551928,$21.14 B
339,JBHT,J.B. Hunt,Industrials,Lowell,Arkansas,2024-03-01,205,203,-1.28,680658,$21.00 B
340,FE,FirstEnergy,Utilities,Akron,Ohio,2024-03-01,36,36,-0.11,2617521,$20.97 B
341,WDC,Western Digital,Information Technology,San Jose,California,2024-03-01,61,64,5.31,17059311,$20.95 B
342,CCL,Carnival,Consumer Discretionary,Miami,Florida,2024-03-01,15,16,0.63,22433281,$20.90 B
343,BAX,Baxter International,Health Care,Deerfield,Illinois,2024-03-01,40,41,0.22,2727856,$20.83 B
344,GPC,Genuine Parts Company,Consumer Discretionary,Atlanta,Georgia,2024-03-01,148,149,0.25,1104894,$20.80 B
345,HUBB,Hubbell Incorporated,Industrials,Shelton,Connecticut,2024-03-01,380,384,1.1,387821,$20.63 B
346,WAT,Waters Corporation,Health Care,Milford,Massachusetts,2024-03-01,336,346,2.74,449579,$20.46 B
347,DRI,Darden Restaurants,Consumer Discretionary,Orlando,Florida,2024-03-01,170,171,0.39,825268,$20.45 B
348,ES,Eversource,Utilities,Hartford,Connecticut,2024-03-01,58,58,-0.49,2998804,$20.43 B
349,STX,Seagate Technology,Information Technology,Dublin,Ireland,2024-03-01,95,97,2.27,5097503,$20.36 B
350,COO,CooperCompanies,Health Care,San Ramon,California,2024-03-01,102,102,0.15,2799691,$20.31 B
351,BALL,Ball Corporation,Materials,Broomfield,Colorado,2024-03-01,63,64,0.89,1522816,$20.29 B
352,LUV,Southwest Airlines,Industrials,Dallas,Texas,2024-03-01,34,33,-0.82,6369956,$20.26 B
353,HPE,Hewlett Packard Enterprise,Information Technology,Houston,Texas,2024-03-01,14,15,7.09,33730336,$20.23 B
354,TDY,Teledyne Technologies,Information Technology,Thousand Oaks,California,2024-03-01,427,425,-0.53,215618,$20.13 B
355,FLT,Fleetcor,Financials,Atlanta,Georgia,2024-03-01,280,276,-1.53,525522,$19.97 B
356,CBOE,Cboe Global Markets,Financials,Chicago,Illinois,2024-03-01,192,187,-2.76,1016008,$19.75 B
357,VRSN,Verisign,Information Technology,Dulles,Virginia,2024-03-01,194,195,0.59,558374,$19.70 B
358,CTRA,Coterra,Energy,Houston,Texas,2024-03-01,25,25,0.23,5654044,$19.52 B
359,IFF,International Flavors & Fragrances,Materials,New York City,New York,2024-03-01,75,75,1.17,1804505,$19.37 B
360,PPL,PPL Corporation,Utilities,Allentown,Pennsylvania,2024-03-01,26,26,-0.72,7430244,$19.28 B
361,TSN,Tyson Foods,Consumer Staples,Springdale,Arkansas,2024-03-01,54,53,-1.94,3843132,$18.99 B
362,AEE,Ameren,Utilities,St. Louis,Missouri,2024-03-01,71,71,0.42,1581575,$18.99 B
363,PFG,Principal Financial Group,Financials,Des Moines,Iowa,2024-03-01,80,80,-0.35,936415,$18.88 B
364,CLX,Clorox,Consumer Staples,Oakland,California,2024-03-01,152,152,-0.09,1117525,$18.87 B
365,JBL,Jabil,Information Technology,St. Petersburg,Florida,2024-03-01,144,147,1.59,1311170,$18.77 B
366,HBAN,Huntington Bancshares,Financials,Columbus,"Ohio; Detroit, Michigan",2024-03-01,12,12,0.14,17931578,$18.76 B
367,K,Kellanova,Consumer Staples,Chicago,Illinois,2024-03-01,55,54,-0.89,2429767,$18.68 B
368,EXPE,Expedia Group,Consumer Discretionary,Seattle,Washington,2024-03-01,136,136,0.4,1569106,$18.65 B
369,TYL,Tyler Technologies,Information Technology,Plano,Texas,2024-03-01,436,440,1.12,146442,$18.64 B
370,WBA,Walgreens Boots Alliance,Consumer Staples,Deerfield,Illinois,2024-03-01,21,21,1.42,7411647,$18.53 B
371,J,Jacobs Solutions,Industrials,Dallas,Texas,2024-03-01,146,146,-0.02,452961,$18.42 B
372,LH,LabCorp,Health Care,Burlington,North Carolina,2024-03-01,215,218,1.09,760679,$18.33 B
373,HRL,Hormel Foods,Consumer Staples,Austin,Minnesota,2024-03-01,35,33,-5.52,6863318,$18.25 B
374,MKC,McCormick & Company,Consumer Staples,Hunt Valley,Maryland,2024-03-01,68,67,-1.22,1325862,$18.17 B
375,IEX,IDEX Corporation,Industrials,Lake Forest,Illinois,2024-03-01,236,239,1.41,342107,$18.11 B
376,CINF,Cincinnati Financial,Financials,Fairfield,Ohio,2024-03-01,114,113,-0.4,523765,$17.79 B
377,EPAM,EPAM Systems,Information Technology,Newtown,Pennsylvania,2024-03-01,301,306,1.6,343189,$17.74 B
378,VTR,Ventas,Real Estate,Chicago,Illinois,2024-03-01,42,44,4.02,2797222,$17.71 B
379,ENPH,Enphase,Information Technology,Fremont,California,2024-03-01,127,129,2.01,2640760,$17.60 B
380,FDS,FactSet,Financials,Norwalk,Connecticut,2024-03-01,461,461,-0.05,229453,$17.57 B
381,OMC,Omnicom Group,Communication Services,New York City,New York,2024-03-01,88,88,0.08,1157877,$17.51 B
382,AVY,Avery Dennison,Materials,Mentor,Ohio,2024-03-01,216,216,0.33,243688,$17.45 B
383,EXPD,Expeditors International,Industrials,Seattle,Washington,2024-03-01,119,120,1.34,1587880,$17.36 B
384,CNP,CenterPoint Energy,Utilities,Houston,Texas,2024-03-01,27,27,-0.07,2939921,$17.33 B
385,LDOS,Leidos,Industrials,Reston,Virginia,2024-03-01,129,127,-1.21,800142,$17.30 B
386,HOLX,Hologic,Health Care,Marlborough,Massachusetts,2024-03-01,73,73,-0.16,1298362,$17.29 B
387,CMS,CMS Energy,Utilities,Jackson,Michigan,2024-03-01,57,58,1.34,4140835,$17.12 B
388,TXT,Textron,Industrials,Providence,Rhode Island,2024-03-01,89,88,-0.44,1048799,$17.10 B
389,RF,Regions Financial Corporation,Financials,Birmingham,Alabama,2024-03-01,18,18,0.54,7490364,$17.08 B
390,SWKS,Skyworks Solutions,Information Technology,Irvine,California,2024-03-01,105,106,0.79,2662301,$17.05 B
391,MAS,Masco,Industrials,Livonia,Michigan,2024-03-01,76,77,1.5,1480508,$17.05 B
392,ATO,Atmos Energy,Utilities,Dallas,Texas,2024-03-01,112,112,0.1,444241,$17.00 B
393,NTRS,Northern Trust,Financials,Chicago,Illinois,2024-03-01,81,82,0.82,1047806,$16.96 B
394,FSLR,First Solar,Information Technology,Tempe,Arizona,2024-03-01,152,158,3.33,2886389,$16.89 B
395,BBY,Best Buy,Consumer Discretionary,Richfield,Minnesota,2024-03-01,81,77,-4.17,4771151,$16.78 B
396,ALB,Albemarle Corporation,Materials,Charlotte,North Carolina,2024-03-01,138,142,3.19,3221180,$16.77 B
397,CE,Celanese,Materials,Irving,Texas,2024-03-01,152,153,0.96,589528,$16.71 B
398,SYF,Synchrony Financial,Financials,Stamford,Connecticut,2024-03-01,41,41,-0.53,4398979,$16.70 B
399,AKAM,Akamai,Information Technology,Cambridge,Massachusetts,2024-03-01,110,110,-0.28,2244996,$16.65 B
400,L,Loews Corporation,Financials,New York City,New York,2024-03-01,75,74,-0.85,540165,$16.54 B
401,EQT,EQT,Energy,Pittsburgh,Pennsylvania,2024-03-01,37,37,-0.43,3667788,$16.30 B
402,TER,Teradyne,Information Technology,North Reading,Massachusetts,2024-03-01,104,105,1.81,2008774,$16.21 B
403,PKG,Packaging Corporation of America,Materials,Lake Forest,Illinois,2024-03-01,180,180,-0.16,400394,$16.15 B
404,EG,Everest Re,Financials,Hamilton,Bermuda,2024-03-01,368,369,0.39,348249,$16.05 B
405,POOL,Pool Corporation,Consumer Discretionary,Covington,Louisiana,2024-03-01,395,403,1.92,268539,$15.60 B
406,ESS,Essex Property Trust,Real Estate,San Mateo,California,2024-03-01,229,234,2.04,444391,$15.58 B
407,DPZ,Domino's,Consumer Discretionary,Ann Arbor,Michigan,2024-03-01,448,447,-0.17,416682,$15.57 B
408,CF,CF Industries,Materials,Deerfield,Illinois,2024-03-01,81,82,1.85,2657509,$15.54 B
409,TRMB,Trimble Inc.,Information Technology,Westminster,Colorado,2024-03-01,61,62,1.81,1353213,$15.32 B
410,MAA,Mid-America Apartment Communities,Real Estate,Memphis,Tennessee,2024-03-01,125,127,1.66,763991,$15.30 B
411,NDSN,Nordson Corporation,Industrials,Westlake,Ohio,2024-03-01,265,266,0.37,230906,$15.22 B
412,NWSA,News Corp (Class A),Communication Services,New York City,New York,2024-03-01,26,26,-2.05,3303242,$15.18 B
413,NWS,News Corp (Class B),Communication Services,New York City,New York,2024-03-01,27,27,-1.79,840786,$15.18 B
414,VTRS,Viatris,Health Care,Pittsburgh,Pennsylvania,2024-03-01,12,12,1.78,11476976,$15.10 B
415,HST,Host Hotels & Resorts,Real Estate,Bethesda,Maryland,2024-03-01,20,20,1.26,3671082,$14.95 B
416,ZBRA,Zebra Technologies,Information Technology,Lincolnshire,Illinois,2024-03-01,279,289,3.56,375004,$14.88 B
417,LW,Lamb Weston,Consumer Staples,Eagle,Idaho,2024-03-01,101,102,0.14,1721249,$14.73 B
418,UAL,United Airlines Holdings,Industrials,Chicago,Illinois,2024-03-01,45,44,-1.73,6920828,$14.71 B
419,SNA,Snap-on,Industrials,Kenosha,Wisconsin,2024-03-01,274,277,0.85,216064,$14.62 B
420,CFG,Citizens Financial Group,Financials,Providence,Rhode Island,2024-03-01,31,31,1.77,4843359,$14.51 B
421,BEN,Franklin Templeton,Financials,San Mateo,California,2024-03-01,27,27,0.04,2473159,$14.44 B
422,GEN,Gen Digital,Information Technology,Tempe,Arizona,2024-03-01,21,21,2.1,1968442,$13.90 B
423,MRO,Marathon Oil,Energy,Houston,Texas,2024-03-01,24,24,0.82,8785174,$13.88 B
424,LKQ,LKQ Corporation,Consumer Discretionary,Chicago,Illinois,2024-03-01,52,51,-0.35,1259313,$13.86 B
425,DGX,Quest Diagnostics,Health Care,Secaucus,New Jersey,2024-03-01,124,124,-0.25,984377,$13.80 B
426,MGM,MGM Resorts,Consumer Discretionary,Paradise,Nevada,2024-03-01,42,42,0.02,4012355,$13.73 B
427,SWK,Stanley Black & Decker,Industrials,New Britain,Connecticut,2024-03-01,89,89,0.31,904691,$13.73 B
428,CRL,Charles River Laboratories,Health Care,Wilmington,Massachusetts,2024-03-01,254,264,4.01,821025,$13.58 B
429,BG,Bunge Global SA,Consumer Staples,Chesterfield,Missouri,2024-03-01,94,93,-1.39,1751152,$13.53 B
430,FOXA,Fox Corporation (Class A),Communication Services,New York City,New York,2024-03-01,29,29,-1.44,3054102,$13.41 B
431,FOX,Fox Corporation (Class B),Communication Services,New York City,New York,2024-03-01,27,26,-1.6,1148361,$13.39 B
432,CAG,Conagra Brands,Consumer Staples,Chicago,Illinois,2024-03-01,28,27,-1.03,3420091,$13.28 B
433,KIM,Kimco Realty,Real Estate,New Hyde Park,New York,2024-03-01,19,19,0.15,6682049,$13.28 B
434,INCY,Incyte,Health Care,Wilmington,Delaware,2024-03-01,58,59,0.6,1477123,$13.26 B
435,KEY,KeyCorp,Financials,Cleveland,Ohio,2024-03-01,14,14,0.0,13064079,$13.25 B
436,RVTY,Revvity (Previously PerkinElmer),Health Care,Waltham,Massachusetts,2024-03-01,108,107,-1.49,1186869,$13.22 B
437,TAP,Molson Coors Beverage Company,Consumer Staples,Chicago,Illinois,2024-03-01,62,62,-0.4,1192823,$13.21 B
438,AMCR,Amcor,Materials,Warmley,"Bristol, United Kingdom",2024-03-01,9,9,0.44,6706024,$13.14 B
439,SJM,J.M. Smucker Company (The),Consumer Staples,Orrville,Ohio,2024-03-01,120,122,1.55,1779286,$13.01 B
440,PNR,Pentair,Industrials,Worsley,United Kingdom,2024-03-01,77,78,0.48,1320091,$12.95 B
441,CPB,Campbell Soup Company,Consumer Staples,Camden,New Jersey,2024-03-01,42,42,0.02,2524831,$12.78 B
442,UDR,"UDR, Inc.",Real Estate,Highlands Ranch,Colorado,2024-03-01,35,35,1.58,3320568,$12.78 B
443,JKHY,Jack Henry & Associates,Financials,Monett,Missouri,2024-03-01,173,171,-1.04,295129,$12.53 B
444,KMX,CarMax,Consumer Discretionary,Richmond,Virginia,2024-03-01,78,79,0.81,1213093,$12.52 B
445,AOS,A. O. Smith,Industrials,Milwaukee,Wisconsin,2024-03-01,82,83,1.7,1107133,$12.36 B
446,LNT,Alliant Energy,Utilities,Madison,Wisconsin,2024-03-01,47,47,0.44,1729230,$12.22 B
447,IP,International Paper,Materials,Memphis,Tennessee,2024-03-01,35,35,-0.54,2458289,$12.14 B
448,JNPR,Juniper Networks,Information Technology,Sunnyvale,California,2024-03-01,37,37,0.84,2808053,$12.12 B
449,GL,Globe Life,Financials,McKinney,Texas,2024-03-01,126,126,-0.55,340896,$11.87 B
450,PODD,Insulet,Health Care,Acton,Massachusetts,2024-03-01,163,169,3.42,1499544,$11.83 B
451,RL,Ralph Lauren Corporation,Consumer Discretionary,New York City,New York,2024-03-01,186,184,-0.66,695732,$11.83 B
452,IPG,Interpublic Group of Companies (The),Communication Services,New York City,New York,2024-03-01,31,31,-0.51,3249841,$11.82 B
453,NRG,NRG Energy,Utilities,Houston,Texas,2024-03-01,55,56,1.67,4477659,$11.80 B
454,NI,NiSource,Utilities,Merrillville,Indiana,2024-03-01,26,26,0.5,8292979,$11.69 B
455,TECH,Bio-Techne,Health Care,Minneapolis,Minnesota,2024-03-01,73,74,1.22,1043511,$11.69 B
456,UHS,Universal Health Services,Health Care,King of Prussia,Pennsylvania,2024-03-01,167,171,2.43,680616,$11.68 B
457,HII,Huntington Ingalls Industries,Industrials,Newport News,Virginia,2024-03-01,290,292,0.59,175553,$11.58 B
458,WRK,WestRock,Materials,Atlanta,Georgia,2024-03-01,45,45,-0.53,1393077,$11.57 B
459,QRVO,Qorvo,Information Technology,Greensboro,North Carolina,2024-03-01,115,119,4.02,1787276,$11.55 B
460,REG,Regency Centers,Real Estate,Jacksonville,Florida,2024-03-01,61,61,-0.32,1051027,$11.47 B
461,WYNN,Wynn Resorts,Consumer Discretionary,Paradise,Nevada,2024-03-01,103,101,-1.74,3732917,$11.34 B
462,EVRG,Evergy,Utilities,Kansas City,Missouri,2024-03-01,49,49,-0.69,2564766,$11.28 B
463,FFIV,"F5, Inc.",Information Technology,Seattle,Washington,2024-03-01,187,189,1.36,332174,$11.17 B
464,ALLE,Allegion,Industrials,Dublin,Ireland,2024-03-01,127,126,-0.59,1259264,$11.10 B
465,DVA,DaVita Inc.,Health Care,Denver,Colorado,2024-03-01,127,126,-0.09,815565,$11.08 B
466,AES,AES Corporation,Utilities,Arlington,Virginia,2024-03-01,15,15,1.78,7778724,$10.99 B
467,TPR,"Tapestry, Inc.",Consumer Discretionary,New York City,New York,2024-03-01,47,47,-1.13,3011865,$10.83 B
468,TFX,Teleflex,Health Care,Wayne,Pennsylvania,2024-03-01,220,223,1.24,240129,$10.49 B
469,PAYC,Paycom,Industrials,Oklahoma City,Oklahoma,2024-03-01,181,184,1.54,659809,$10.45 B
470,BXP,Boston Properties,Real Estate,Boston,Massachusetts,2024-03-01,64,66,2.51,1408619,$10.40 B
471,CTLT,Catalent,Health Care,Somerset,New Jersey,2024-03-01,57,57,-0.3,2495428,$10.34 B
472,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Columbus,Ohio,2024-03-01,45,45,1.29,3962077,$10.32 B
473,AAL,American Airlines Group,Industrials,Fort Worth,Texas,2024-03-01,15,15,-0.06,25553002,$10.25 B
474,CPT,Camden Property Trust,Real Estate,Houston,Texas,2024-03-01,93,95,1.94,863090,$10.25 B
475,EMN,Eastman Chemical Company,Materials,Kingsport,Tennessee,2024-03-01,87,87,-0.74,694908,$10.22 B
476,MOS,Mosaic Company (The),Materials,Tampa,Florida,2024-03-01,31,31,-0.53,5802398,$10.18 B
477,HSIC,Henry Schein,Health Care,Melville,New York,2024-03-01,76,76,0.54,1093195,$9.94 B
478,MTCH,Match Group,Communication Services,Dallas,Texas,2024-03-01,36,35,-0.39,5331944,$9.62 B
479,BIO,Bio-Rad,Health Care,Hercules,California,2024-03-01,324,332,2.27,193833,$9.48 B
480,AIZ,Assurant,Financials,Atlanta,Georgia,2024-03-01,181,180,-0.55,216089,$9.38 B
481,PEAK,Healthpeak,Real Estate,Long Beach,California,2024-03-01,16,17,2.15,9978985,$9.36 B
482,CZR,Caesars Entertainment,Consumer Discretionary,Reno,Nevada,2024-03-01,43,42,-0.97,2846581,$9.29 B
483,APA,APA Corporation,Energy,Houston,Texas,2024-03-01,30,30,0.73,6260978,$9.17 B
484,CHRW,CH Robinson,Industrials,Eden Prairie,Minnesota,2024-03-01,74,73,-0.5,1344717,$8.64 B
485,RHI,Robert Half,Industrials,Menlo Park,California,2024-03-01,80,80,0.64,582247,$8.50 B
486,FRT,Federal Realty,Real Estate,Rockville,Maryland,2024-03-01,100,99,-0.69,520824,$8.36 B
487,ETSY,Etsy,Consumer Discretionary,New York City,New York,2024-03-01,71,69,-2.28,2880816,$8.27 B
488,MKTX,MarketAxess,Financials,New York City,New York,2024-03-01,212,218,2.53,418244,$8.26 B
489,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Miami,Florida,2024-03-01,19,19,-1.03,11224312,$8.21 B
490,MHK,Mohawk Industries,Consumer Discretionary,Calhoun,Georgia,2024-03-01,118,121,2.31,959431,$7.73 B
491,PNW,Pinnacle West,Utilities,Phoenix,Arizona,2024-03-01,68,68,-0.23,3184433,$7.72 B
492,PARA,Paramount Global,Communication Services,New York City,New York,2024-03-01,11,10,-0.9,15446851,$7.54 B
493,BWA,BorgWarner,Consumer Discretionary,Auburn Hills,Michigan,2024-03-01,31,31,0.06,2574906,$7.16 B
494,FMC,FMC Corporation,Materials,Philadelphia,Pennsylvania,2024-03-01,56,57,1.47,2731069,$7.15 B
495,XRAY,Dentsply Sirona,Health Care,Charlotte,North Carolina,2024-03-01,32,33,0.85,2667901,$7.05 B
496,IVZ,Invesco,Financials,Atlanta,Georgia,2024-03-01,15,15,0.98,2893827,$6.98 B
497,HAS,Hasbro,Consumer Discretionary,Pawtucket,Rhode Island,2024-03-01,50,50,0.0,1324222,$6.97 B
498,GNRC,Generac,Industrials,Waukesha,Wisconsin,2024-03-01,112,114,1.95,822353,$6.88 B
499,CMA,Comerica,Financials,Dallas,Texas,2024-03-01,48,49,1.83,2726533,$6.54 B
500,VFC,VF Corporation,Consumer Discretionary,Denver,Colorado,2024-03-01,16,16,-1.1,8168762,$6.31 B
501,WHR,Whirlpool Corporation,Consumer Discretionary,Benton Harbor,Michigan,2024-03-01,107,106,-0.72,953332,$5.84 B
502,ZION,Zions Bancorporation,Financials,Salt Lake City,Utah,2024-03-01,38,38,0.13,2872531,$5.74 B
503,DAY,Dayforce,Industrials,Minneapolis,Minnesota,2024-03-01,69,68,-1.52,1895148,$11.16 B
